"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Affected Investment ID","Agency Affected Investment ID","Affected Investment UII","To Be Status","Updated Date","Updated Time"
007-000000582,1395,"01 - Major IT","01 - Not Applicable",807,"	932",007-000000262,"to be eliminated",03/18/2014,11:05:14
021-762783225,1211,"01 - Major IT","01 - Not Applicable",837,"	2618",021-448268496,"to be eliminated",03/19/2014,15:53:28
429-000008200,1473,"01 - Major IT","01 - Not Applicable",839,,429-000001003,"to be reduced",09/09/2014,07:24:44
014-000000003,1511,"01 - Major IT","01 - Not Applicable",877,"	129877",014-000000025,"to be eliminated",09/10/2014,18:06:24
014-000000003,1511,"01 - Major IT","01 - Not Applicable",879,"	129878",014-000000355,"to be eliminated",09/10/2014,18:06:24
014-000000003,1511,"01 - Major IT","01 - Not Applicable",881,"	129879",014-000000056,"to be reduced",09/10/2014,18:06:24
014-000000003,1511,"01 - Major IT","01 - Not Applicable",883,"	129881",014-000000004,"to be reduced",09/10/2014,18:06:24
027-999991200,594,"01 - Major IT","01 - Not Applicable",885,,020-000016227,"to be reduced",09/15/2015,16:40:43
011-000003457,938,"01 - Major IT","01 - Not Applicable",887,,011-000003458,"to be eliminated",09/11/2014,13:01:12
026-000005020,39,"01 - Major IT","01 - Not Applicable",893,,026-000005010,"to be eliminated",09/11/2014,21:17:24
021-488119819,1325,"01 - Major IT","01 - Not Applicable",903,"	25544",021-293198144,"to be eliminated",09/12/2014,14:32:23
018-000001031,818,"01 - Major IT","01 - Not Applicable",911,,018-000000058,"to be eliminated",09/18/2014,14:50:11
018-000001031,818,"01 - Major IT","01 - Not Applicable",913,,018-000002600,"to be eliminated",09/18/2014,14:50:11
007-000000314,19,"01 - Major IT","01 - Not Applicable",919,"	1026",007-000009990,"to be eliminated",10/01/2014,10:50:00
007-000000314,19,"01 - Major IT","01 - Not Applicable",921,"	1027",007-000004556,"to be eliminated",10/01/2014,10:50:00
007-000000314,19,"01 - Major IT","01 - Not Applicable",923,"	1029",007-000003737,"to be eliminated",10/01/2014,10:50:00
007-000003947,915,"01 - Major IT","01 - Not Applicable",925,"	1003",007-000001237,"to be eliminated",02/04/2015,12:46:50
007-000003947,915,"01 - Major IT","01 - Not Applicable",927,"	1004",007-000006473,"to be eliminated",10/01/2014,12:36:30
007-000003947,915,"01 - Major IT","01 - Not Applicable",929,"	1006",007-000005986,"to be eliminated",10/01/2014,12:36:30
007-000001371,1567,"01 - Major IT","01 - Not Applicable",931,"	982",007-000000954,"to be eliminated",10/01/2014,14:32:49
007-000001371,1567,"01 - Major IT","01 - Not Applicable",933,"	984",007-000003898,"to be eliminated",10/01/2014,14:32:49
007-000001371,1567,"01 - Major IT","01 - Not Applicable",935,"	985",007-000003901,"to be eliminated",10/01/2014,14:32:49
007-000001371,1567,"01 - Major IT","01 - Not Applicable",937,"	983",007-000001644,"to be eliminated",10/01/2014,14:32:49
024-000003015,319,"01 - Major IT","01 - Not Applicable",941,"	45171",024-000003036,"to be eliminated",09/15/2015,11:12:15
024-000003015,319,"01 - Major IT","01 - Not Applicable",942,"	45178",024-000003038,"to be eliminated",09/15/2015,11:12:15
024-000003015,319,"01 - Major IT","01 - Not Applicable",943,"	45207",024-000003040,"to be eliminated",09/15/2015,11:12:15
024-000003015,319,"01 - Major IT","01 - Not Applicable",944,"	45210",024-000003090,"to be eliminated",09/15/2015,11:12:15
024-000003015,319,"01 - Major IT","01 - Not Applicable",945,"	45208",024-000003120,"to be eliminated",09/15/2015,11:12:15
024-000005217,1107,"01 - Major IT","01 - Not Applicable",946,"	45745",024-000005216,"to be eliminated",09/15/2015,11:14:38
015-000200132,1606,"01 - Major IT","01 - Not Applicable",955,"	380",015-000200132,"to be eliminated",09/15/2015,14:43:28
027-999991200,594,"01 - Major IT","01 - Not Applicable",956,,023-000001226,"to be eliminated",09/15/2015,16:40:43
027-999991200,594,"01 - Major IT","01 - Not Applicable",957,,023-000001221,"to be eliminated",09/15/2015,16:40:43
010-000000319,674,"01 - Major IT","01 - Not Applicable",958,,010-000000456,"to be reduced",09/15/2015,17:01:42
010-000000703,681,"01 - Major IT","01 - Not Applicable",959,,010-000001642,"to be reduced",09/15/2015,18:35:05
005-000002376,1099,"01 - Major IT","01 - Not Applicable",962,"	6256",005-000002375,"to be reduced",09/16/2015,16:39:08
005-000002376,1099,"01 - Major IT","01 - Not Applicable",963,"	6257",005-000002377,"to be reduced",09/16/2015,16:39:08
005-000002376,1099,"01 - Major IT","01 - Not Applicable",964,"	6255",005-000002388,"to be reduced",09/16/2015,16:39:08
005-000002376,1099,"01 - Major IT","01 - Not Applicable",965,"	6258",005-000002389,"to be reduced",09/16/2015,16:39:08
005-000000063,249,"01 - Major IT","01 - Not Applicable",966,"	6268",005-000000064,"to be eliminated",09/16/2015,16:42:26
005-000000063,249,"01 - Major IT","01 - Not Applicable",967,"	6269",005-000000067,"to be eliminated",09/16/2015,16:42:26
015-000200136,1621,"01 - Major IT","01 - Not Applicable",977,"	335",015-000200136,"to be eliminated",09/16/2015,18:57:48
015-000200133,1623,"01 - Major IT","01 - Not Applicable",981,"	414",015-000200133,"to be eliminated",09/16/2015,19:42:29
005-000002148,231,"01 - Major IT","01 - Not Applicable",982,"	6263",005-000000150,"to be eliminated",09/16/2015,19:47:11
015-000200137,1624,"01 - Major IT","01 - Not Applicable",987,"	293",015-000200137,"to be eliminated",09/16/2015,20:10:57
005-000000185,1634,"01 - Major IT","01 - Not Applicable",989,"	5538",005-000000074,"to be reduced",09/17/2015,14:33:19
005-000000185,1634,"01 - Major IT","01 - Not Applicable",991,"	5536",005-000001405,"to be eliminated",09/17/2015,14:33:19
005-000000185,1634,"01 - Major IT","01 - Not Applicable",992,"	5540",005-000001786,"to be eliminated",09/17/2015,14:33:19
005-000000185,1634,"01 - Major IT","01 - Not Applicable",993,"	5542",005-000001822,"to be eliminated",09/17/2015,14:33:19
005-000000185,1634,"01 - Major IT","01 - Not Applicable",994,"	5539",005-000002188,"to be eliminated",09/17/2015,14:33:19
005-000000185,1634,"01 - Major IT","01 - Not Applicable",995,"	5537",005-000002197,"to be eliminated",09/17/2015,14:33:19
005-000001425,227,"01 - Major IT","01 - Not Applicable",996,"	6260",005-000000062,"to be eliminated",09/17/2015,16:36:16
018-000001151,1647,"01 - Major IT","01 - Not Applicable",1002,,018-000000072,"to be eliminated",09/18/2015,16:20:41
005-000001870,225,"01 - Major IT","01 - Not Applicable",1006,"	79788",005-000001638,"to be reduced",02/02/2016,16:51:54
006-000312900,1668,"01 - Major IT","01 - Not Applicable",1007,,006-000310600,"to be reduced",02/03/2016,15:53:38
006-000312900,1668,"01 - Major IT","01 - Not Applicable",1008,,006-000312600,"to be reduced",02/03/2016,15:53:38
006-000312900,1668,"01 - Major IT","01 - Not Applicable",1009,,006-000312500,"to be reduced",02/03/2016,15:53:38
021-233935436,943,"01 - Major IT","01 - Not Applicable",1015,"	46766",021-129509291,"to be eliminated",10/14/2016,15:56:41
021-006081945,382,"01 - Major IT","01 - Not Applicable",1020,"	46789",021-910941076,"to be eliminated",10/14/2016,17:48:22
021-006081945,382,"01 - Major IT","01 - Not Applicable",1021,"	46874",021-448268496,"to be eliminated",10/14/2016,17:48:22
021-762783225,1211,"01 - Major IT","01 - Not Applicable",1022,"	46875",021-910941076,"to be eliminated",10/14/2016,18:35:51
429-000002500,1469,"01 - Major IT","01 - Not Applicable",1023,,429-000002504,"to be eliminated",10/18/2016,13:42:53
012-000003615,1047,"01 - Major IT","01 - Not Applicable",1024,,012-000002015,"to be eliminated",10/18/2016,18:31:26
393-000000100,1361,"01 - Major IT","01 - Not Applicable",1026,,393-000000100,"to be reduced",10/21/2016,14:26:24
393-000000100,1361,"01 - Major IT","01 - Not Applicable",1027,,393-000000150,"to be reduced",10/21/2016,14:26:24
024-000007547,1684,"01 - Major IT","01 - Not Applicable",1030,"	70351",024-000007529,"to be reduced",11/14/2016,16:56:24
024-000007547,1684,"01 - Major IT","01 - Not Applicable",1032,"	70349",024-000007006,"to be reduced",11/14/2016,16:56:24
024-000007547,1684,"01 - Major IT","01 - Not Applicable",1034,"	70353",024-000007172,"to be reduced",11/14/2016,16:56:24
024-000007547,1684,"01 - Major IT","01 - Not Applicable",1035,"	70354",024-000007415,"to be reduced",11/14/2016,16:56:24
024-000007547,1684,"01 - Major IT","01 - Not Applicable",1036,"	70355",024-000007414,"to be reduced",11/14/2016,16:56:24
024-000007547,1684,"01 - Major IT","01 - Not Applicable",1037,"	70352",024-000007413,"to be reduced",11/14/2016,16:56:24
021-302996650,1698,"01 - Major IT","01 - Not Applicable",1038,"	48908",021-430297065,"to be eliminated",11/14/2016,19:04:34
014-000000477,1727,"01 - Major IT","01 - Not Applicable",1039,"	254460",014-000000166,"to be eliminated",11/15/2016,19:39:16
005-000003220,1774,"01 - Major IT","01 - Not Applicable",1041,"	100687",005-000001739,"to be reduced",11/17/2016,14:29:44
018-000001151,1647,"01 - Major IT","01 - Not Applicable",1045,,018-000002370,"to be eliminated",11/23/2016,14:59:19
422-000001328,852,"01 - Major IT","01 - Not Applicable",1050,"	172006",422-000001361,"to be eliminated",05/08/2017,16:32:00
005-000003245,1819,"01 - Major IT","01 - Not Applicable",1055,"	104523",005-000000028,"to be eliminated",05/09/2017,20:13:36
007-000100462,1656,"01 - Major IT","01 - Not Applicable",1070,"	1165",007-000006594,"to be eliminated",05/22/2017,19:00:03
007-000100462,1656,"01 - Major IT","01 - Not Applicable",1071,"	1166",007-000007178,"to be eliminated",05/22/2017,19:00:03
007-000005090,1118,"01 - Major IT","01 - Not Applicable",1072,"	1497",007-000007139,"to be eliminated",05/22/2017,20:36:31
007-000005090,1118,"01 - Major IT","01 - Not Applicable",1073,"	1498",007-000100542,"to be eliminated",05/22/2017,20:36:31
015-000000027,527,"01 - Major IT","01 - Not Applicable",1077,"	47",015-000000047,"to be eliminated",09/12/2017,13:48:58
009-000316503,1189,"01 - Major IT","01 - Not Applicable",1078,"	714",009-000000714,"to be reduced",09/12/2017,18:10:13
027-999991219,596,"01 - Major IT","01 - Not Applicable",1079,,027-000000058,"to be eliminated",09/12/2017,18:47:44
029-555555300,1844,"01 - Major IT","01 - Not Applicable",1080,,029-888888104,"to be eliminated",09/12/2017,19:02:05
029-555555300,1844,"01 - Major IT","01 - Not Applicable",1081,,029-555555108,"to be eliminated",09/12/2017,19:02:05
029-555555300,1844,"01 - Major IT","01 - Not Applicable",1082,,029-555555113,"to be eliminated",09/12/2017,19:02:05
029-666666400,1845,"01 - Major IT","01 - Not Applicable",1083,,029-666666265,"to be eliminated",09/12/2017,19:02:12
029-666666401,1846,"01 - Major IT","01 - Not Applicable",1084,,029-666666264,"to be eliminated",09/12/2017,19:02:19
029-666666401,1846,"01 - Major IT","01 - Not Applicable",1085,,029-666666109,"to be eliminated",09/12/2017,19:02:19
029-555555301,1847,"01 - Major IT","01 - Not Applicable",1086,,029-555555242,"to be eliminated",09/12/2017,19:02:26
029-555555301,1847,"01 - Major IT","01 - Not Applicable",1087,,029-555555109,"to be eliminated",09/12/2017,19:02:26
029-555555301,1847,"01 - Major IT","01 - Not Applicable",1088,,029-888888102,"to be eliminated",09/12/2017,19:02:26
029-555555301,1847,"01 - Major IT","01 - Not Applicable",1089,,029-555555113,"to be eliminated",09/12/2017,19:02:26
029-555555302,1848,"01 - Major IT","01 - Not Applicable",1090,,029-555555184,"to be eliminated",09/12/2017,19:02:33
029-555555302,1848,"01 - Major IT","01 - Not Applicable",1091,,029-555555222,"to be eliminated",09/12/2017,19:02:33
029-555555302,1848,"01 - Major IT","01 - Not Applicable",1092,,029-555555108,"to be eliminated",09/12/2017,19:02:33
029-555555302,1848,"01 - Major IT","01 - Not Applicable",1093,,029-555555110,"to be eliminated",09/12/2017,19:02:33
029-555555302,1848,"01 - Major IT","01 - Not Applicable",1094,,029-555555113,"to be eliminated",09/12/2017,19:02:33
029-555555302,1848,"01 - Major IT","01 - Not Applicable",1095,,029-888888101,"to be eliminated",09/12/2017,19:02:33
029-555555302,1848,"01 - Major IT","01 - Not Applicable",1096,,029-888888105,"to be eliminated",09/12/2017,19:02:33
029-555555302,1848,"01 - Major IT","01 - Not Applicable",1097,,029-888888102,"to be eliminated",09/12/2017,19:02:33
029-555555302,1848,"01 - Major IT","01 - Not Applicable",1098,,029-888888104,"to be eliminated",09/12/2017,19:02:33
029-666666700,1849,"01 - Major IT","01 - Not Applicable",1099,,029-666666203,"to be eliminated",09/12/2017,19:02:39
029-777777502,1850,"01 - Major IT","01 - Not Applicable",1100,,029-777777106,"to be eliminated",09/12/2017,19:02:46
029-666666404,1852,"01 - Major IT","01 - Not Applicable",1101,,029-888888105,"to be eliminated",09/12/2017,19:11:14
029-666666404,1852,"01 - Major IT","01 - Not Applicable",1102,,029-777777106,"to be eliminated",09/12/2017,19:11:14
016-000002259,1733,"01 - Major IT","01 - Not Applicable",1103,,016-000002307,"to be eliminated",09/12/2017,19:35:20
016-000002259,1733,"01 - Major IT","01 - Not Applicable",1104,,016-000002145,"to be eliminated",09/12/2017,19:35:20
027-999990129,1497,"01 - Major IT","01 - Not Applicable",1105,,027-999990127,"to be eliminated",09/12/2017,19:42:04
029-777777501,1853,"01 - Major IT","01 - Not Applicable",1106,,029-777777106,"to be eliminated",09/12/2017,20:15:41
029-555555303,1854,"01 - Major IT","01 - Not Applicable",1107,,029-555555108,"to be eliminated",09/12/2017,20:15:50
029-555555303,1854,"01 - Major IT","01 - Not Applicable",1108,,029-555555113,"to be eliminated",09/12/2017,20:15:50
029-888888601,1856,"01 - Major IT","01 - Not Applicable",1109,,029-666666265,"to be eliminated",09/12/2017,20:30:06
029-888888601,1856,"01 - Major IT","01 - Not Applicable",1110,,029-555555108,"to be eliminated",09/12/2017,20:30:06
029-888888601,1856,"01 - Major IT","01 - Not Applicable",1111,,029-777777106,"to be eliminated",09/12/2017,20:30:06
029-888888601,1856,"01 - Major IT","01 - Not Applicable",1112,,029-777777109,"to be eliminated",09/12/2017,20:30:06
029-888888601,1856,"01 - Major IT","01 - Not Applicable",1113,,029-888888101,"to be eliminated",09/12/2017,20:30:06
029-888888601,1856,"01 - Major IT","01 - Not Applicable",1114,,029-888888102,"to be eliminated",09/12/2017,20:30:06
029-888888601,1856,"01 - Major IT","01 - Not Applicable",1115,,029-888888105,"to be eliminated",09/12/2017,20:30:06
005-000002148,231,"01 - Major IT","01 - Not Applicable",1117,"	119376",005-000000137,"to be eliminated",09/13/2017,17:19:12
005-000002148,231,"01 - Major IT","01 - Not Applicable",1118,"	119378",005-000003045,"to be eliminated",09/13/2017,17:19:12
005-000002148,231,"01 - Major IT","01 - Not Applicable",1119,"	119377",005-000000130,"to be eliminated",09/13/2017,17:19:12
027-000000019,598,"01 - Major IT","01 - Not Applicable",1120,,027-000000020,"to be eliminated",09/13/2017,18:41:57
009-000406264,1862,"01 - Major IT","01 - Not Applicable",1122,"	1465",009-000001465,"to be eliminated",09/14/2017,13:52:57
027-999990119,1864,"01 - Major IT","01 - Not Applicable",1123,,027-999990118,"to be eliminated",09/14/2017,17:05:13
027-000000049,1865,"01 - Major IT","01 - Not Applicable",1124,,027-000000138,"to be eliminated",09/14/2017,17:05:20
007-000005841,1875,"01 - Major IT","01 - Not Applicable",1128,"	1597",007-000001270,"to be eliminated",11/16/2017,18:31:36
007-000005841,1875,"01 - Major IT","01 - Not Applicable",1129,"	1596",007-000001794,"to be eliminated",11/16/2017,18:31:36
007-000005841,1875,"01 - Major IT","01 - Not Applicable",1130,"	1598",007-000001034,"to be eliminated",11/16/2017,18:31:36
007-000005841,1875,"01 - Major IT","01 - Not Applicable",1131,"	1599",007-000008181,"to be eliminated",11/16/2017,18:31:36
007-000007173,1429,"01 - Major IT","01 - Not Applicable",1132,"	1579",007-000004259,"to be eliminated",11/22/2017,17:35:45
007-000007173,1429,"01 - Major IT","01 - Not Applicable",1133,"	1577",007-000002311,"to be eliminated",11/22/2017,17:35:45
007-000007173,1429,"01 - Major IT","01 - Not Applicable",1134,"	1576",007-000100051,"to be eliminated",11/22/2017,17:35:45
007-000007173,1429,"01 - Major IT","01 - Not Applicable",1135,"	1580",007-000004593,"to be eliminated",11/22/2017,17:35:45
007-000007173,1429,"01 - Major IT","01 - Not Applicable",1136,"	1578",007-000002327,"to be eliminated",11/22/2017,17:35:45
009-000409885,1879,"01 - Major IT","01 - Not Applicable",1137,"	6796",009-000006796,"to be eliminated",01/10/2018,22:00:53
007-000006106,1870,"01 - Major IT","01 - Not Applicable",1138,"	1625",007-000001794,"to be reduced",03/02/2018,22:37:46
007-000006106,1870,"01 - Major IT","01 - Not Applicable",1139,"	1626",007-000007538,"to be eliminated",03/02/2018,22:37:47
007-000006106,1870,"01 - Major IT","01 - Not Applicable",1140,"	1627",007-000003542,"to be eliminated",03/02/2018,22:37:47
007-000000155,14,"01 - Major IT","01 - Not Applicable",1141,"	1628",007-000003529,"to be eliminated",03/02/2018,22:42:42
429-000002600,1467,"01 - Major IT","01 - Not Applicable",1142,"	5",429-000001025,"to be eliminated",09/13/2018,18:12:36
010-000000077,646,"01 - Major IT","01 - Not Applicable",1143,,010-000001538,"to be eliminated",09/14/2018,14:16:25
010-000000319,674,"01 - Major IT","01 - Not Applicable",1144,,010-000000700,"to be eliminated",09/14/2018,14:26:35
012-000000052,1891,"01 - Major IT","01 - Not Applicable",1145,,012-000002495,"to be eliminated",09/14/2018,18:31:09
021-129509293,1860,"01 - Major IT","01 - Not Applicable",1146,"	77002",021-996986519,"to be eliminated",09/17/2018,17:15:41
009-000419507,1894,"01 - Major IT","01 - Not Applicable",1147,"	314916",009-000314916,"to be eliminated",09/17/2018,17:55:47
006-000402400,1895,"01 - Major IT","01 - Not Applicable",1148,,006-000401400,"to be eliminated",09/17/2018,17:59:55
006-000805000,1866,"01 - Major IT","01 - Not Applicable",1149,,006-000804000,"to be reduced",09/17/2018,18:05:13
024-000005253,1686,"01 - Major IT","01 - Not Applicable",1150,"	104588",024-000009560,"to be eliminated",09/17/2018,18:42:02
024-000000610,1902,"01 - Major IT","01 - Not Applicable",1151,"	104819",024-000006379,"to be eliminated",09/18/2018,18:38:58
024-000000610,1902,"01 - Major IT","01 - Not Applicable",1152,"	104817",024-000005684,"to be eliminated",09/18/2018,18:38:58
024-000000610,1902,"01 - Major IT","01 - Not Applicable",1153,"	104818",024-000005964,"to be eliminated",09/18/2018,18:38:58
024-000000610,1902,"01 - Major IT","01 - Not Applicable",1154,"	105023",024-000000607,"to be eliminated",09/18/2018,18:38:58
005-000003272,1906,"01 - Major IT","01 - Not Applicable",1157,"	143198",005-000001630,"to be eliminated",09/19/2018,02:29:06
005-000003272,1906,"01 - Major IT","01 - Not Applicable",1158,"	143197",005-000001632,"to be eliminated",09/19/2018,02:29:06
005-000003272,1906,"01 - Major IT","01 - Not Applicable",1159,"	143200",005-000001635,"to be eliminated",09/19/2018,02:29:06
005-000003272,1906,"01 - Major IT","01 - Not Applicable",1160,"	143196",005-000000857,"to be eliminated",09/19/2018,02:29:06
005-000003272,1906,"01 - Major IT","01 - Not Applicable",1161,"	143199",005-000001638,"to be eliminated",09/19/2018,02:29:06
005-000003272,1906,"01 - Major IT","01 - Not Applicable",1162,"	142225",005-000001634,"to be eliminated",09/19/2018,02:29:06
005-000003272,1906,"01 - Major IT","01 - Not Applicable",1163,"	148566",005-000001744,"to be eliminated",09/19/2018,02:29:06
005-000003273,1907,"01 - Major IT","01 - Not Applicable",1164,"	143424",005-000001231,"to be eliminated",09/19/2018,03:00:01
005-000003273,1907,"01 - Major IT","01 - Not Applicable",1165,"	148569",005-000001744,"to be eliminated",09/19/2018,03:00:01
005-000003276,1910,"01 - Major IT","01 - Not Applicable",1170,"	140046",005-000001232,"to be eliminated",09/19/2018,14:18:00
005-000003276,1910,"01 - Major IT","01 - Not Applicable",1171,"	140047",005-000000094,"to be eliminated",09/19/2018,14:18:00
005-000003276,1910,"01 - Major IT","01 - Not Applicable",1172,"	140045",005-000001234,"to be eliminated",09/19/2018,14:18:00
025-000004410,1914,"01 - Major IT","01 - Not Applicable",1173,,025-000000074,"to be eliminated",09/19/2018,16:43:36
028-000000067,1916,"01 - Major IT","01 - Not Applicable",1174,,028-000002003,"to be eliminated",09/19/2018,17:26:24
024-000009567,1917,"01 - Major IT","01 - Not Applicable",1176,"	228079",024-000009543,"to be eliminated",09/19/2018,19:40:12
024-000009567,1917,"01 - Major IT","01 - Not Applicable",1177,"	228995",024-000009549,"to be eliminated",09/19/2018,19:40:12
024-000009567,1917,"01 - Major IT","01 - Not Applicable",1178,"	228994",024-000009548,"to be eliminated",09/19/2018,19:40:12
024-000009567,1917,"01 - Major IT","01 - Not Applicable",1179,"	228993",024-000009544,"to be eliminated",09/19/2018,19:40:12
024-000009567,1917,"01 - Major IT","01 - Not Applicable",1180,"	228996",024-000009541,"to be eliminated",09/19/2018,19:40:12
024-000009567,1917,"01 - Major IT","01 - Not Applicable",1181,"	229002",024-000009545,"to be eliminated",09/19/2018,19:40:12
024-000009567,1917,"01 - Major IT","01 - Not Applicable",1182,"	44005",024-000009573,"to be eliminated",09/19/2018,19:40:12
018-000003203,946,"01 - Major IT","01 - Not Applicable",1183,,018-000003117,"to be eliminated",09/20/2018,13:28:55
014-000000202,1924,"01 - Major IT","01 - Not Applicable",1184,"	287691",014-000000188,"to be eliminated",09/20/2018,19:10:46
007-000101121,1931,"01 - Major IT","01 - Not Applicable",1185,"	1641",007-000100781,"to be eliminated",10/30/2018,17:18:18
007-000005070,59,"01 - Major IT","01 - Not Applicable",1186,"	1636",007-000004392,"to be eliminated",10/30/2018,17:58:13
007-000005070,59,"01 - Major IT","01 - Not Applicable",1187,"	1637",007-000004528,"to be eliminated",10/30/2018,17:58:13
021-170118102,1935,"01 - Major IT","01 - Not Applicable",1188,"	80846",021-000001001,"to be eliminated",02/21/2019,18:27:53
005-000003325,1936,"01 - Major IT","01 - Not Applicable",1189,"	140092",005-000001583,"to be eliminated",02/21/2019,19:31:46
005-000003325,1936,"01 - Major IT","01 - Not Applicable",1190,"	140093",005-000000054,"to be eliminated",02/21/2019,19:31:46
005-000003325,1936,"01 - Major IT","01 - Not Applicable",1191,"	148567",005-000001232,"to be eliminated",02/21/2019,19:31:46
005-000003325,1936,"01 - Major IT","01 - Not Applicable",1192,"	148571",005-000001870,"to be reduced",02/21/2019,19:31:46
