"Performance Gov ID","Agency Code","Agency Name",Description,"ASO / APG"
018APG18012,"	018","Department of Education","Improve Student Privacy and Data Security at Institutions of Higher Education (IHEs) Through Outreach and Compliance Efforts",APG
018APG18013,"	018","Department of Education","Provide Regulatory Relief to Education Stakeholders",APG
018APG18094,"	018","Department of Education","Improve Borrowers' Access to Quality Customer Service",APG
018SO18038,"	018","Department of Education","Increase high-quality educational options and empower students and parents to choose an education that meets their needs.",ASO
018SO18039,"	018","Department of Education","Provide all P-12 students with equal access to high-quality educational opportunities.",ASO
018SO18040,"	018","Department of Education","Prepare all students for successful transitions to college and careers by supporting access to dual enrollment, job skills development and high-quality science, technology, engineering and mathematics (STEM).",ASO
018SO18041,"	018","Department of Education","Support agencies and institutions in the implementation of evidence-based strategies and practices that build the capacity of school staff and families to support students' academic performance.",ASO
018SO18042,"	018","Department of Education","Support educational institutions, students, parents and communities to increase access and completion of college, lifelong learning and career, technical and adult education.",ASO
018SO18043,"	018","Department of Education","Support agencies and educational institutions in identifying and using evidence-based strategies or other promising practices to improve educational opportunities and successfully prepare individuals to compete in the global economy.",ASO
018SO18044,"	018","Department of Education","Support agencies and educational institutions as they create or expand innovative and affordable paths to relevant careers by providing postsecondary credentials or job-ready skills.",ASO
018SO18045,"	018","Department of Education","Improve quality of service for customers across the entire student aid life cycle.",ASO
018SO18046,"	018","Department of Education","Enhance students' and parents' ability to repay their federal student loans by providing accurate and timely information, relevant tools and manageable repayment options.",ASO
018SO18047,"	018","Department of Education","Improve the Department's data governance, data life cycle management and the capacity to support education data.",ASO
018SO18048,"	018","Department of Education","Improve privacy protections for, and transparency of, education data both at the Department and in the education community.",ASO
018SO18049,"	018","Department of Education","Increase access to, and use of, education data to make informed decisions both at the Department and in the education community.",ASO
018SO18051,"	018","Department of Education","Identify, assess, monitor and manage enterprise risks.",ASO
018SO18052,"	018","Department of Education","Strengthen the Department's cybersecurity by enhancing protections for its information technology infrastructure, systems and data.",ASO
018SO18053,"	018","Department of Education","Improve the engagement and preparation of the Department's workforce using professional development and accountability measures.",ASO
018SO18251,"	018","Department of Education","Provide regulatory relief to educational institutions and reduce burden by identifying time-consuming regulations, processes and policies and working to improve or eliminate them, while continuing to protect taxpayers from waste and abuse.",ASO
"	0","	019","Department of Energy","Not Applicable",
019APG18073,"	019","Department of Energy","Not Available",APG
019SO18226,"	019","Department of Energy","Not Available",ASO
"	0","	020","Environmental Protection Agency","Not Applicable",
020APG18042,"	020","Environmental Protection Agency","Accelerate Permitting-Related Decisions",APG
020APG18043,"	020","Environmental Protection Agency","Accelerate the Pace of Cleanups and Return Sites to Beneficial Use",APG
020APG18045,"	020","Environmental Protection Agency","Improve Air Quality by Implementing Pollution Control Measures to Reduce the Number of Nonattainment Areas",APG
020APG18046,"	020","Environmental Protection Agency","Increase Environmental Law Compliance Rate",APG
020APG18047,"	020","Environmental Protection Agency","Meet New Statutory Requirements to Improve the Safety of Chemicals in Commerce",APG
020APG18093,"	020","Environmental Protection Agency","Empower Communities to Leverage EPA Water Infrastructure Investments",APG
020SO18131,"	020","Environmental Protection Agency","Improve Air Quality: Work with states and tribes to accurately measure air quality and ensure that more Americans are living and working in areas that meet high air quality standards.",ASO
020SO18133,"	020","Environmental Protection Agency","Revitalize Land and Prevent Contamination: Provide better leadership and management to properly clean up contaminated sites to revitalize and return the land back to communities.",ASO
020SO18134,"	020","Environmental Protection Agency","Ensure Safety of Chemicals in the Marketplace: Effectively implement the Toxic Substances Control Act, and the Federal Insecticide, Fungicide, and Rodenticide Act, to ensure new and existing chemicals and pesticides are reviewed",ASO
020SO18135,"	020","Environmental Protection Agency","Enhance Shared Accountability: Improve environmental protection through shared governance and enhanced collaboration with state, tribal, local, and federal partners using the full range of compliance assurance tools.",ASO
020SO18136,"	020","Environmental Protection Agency","Increase Transparency and Public Participation: Listen to and collaborate with impacted stakeholders and provide effective platforms for public participation and meaningful engagement.",ASO
020SO18137,"	020","Environmental Protection Agency","Compliance with the Law: Timely enforce environmental laws to increase compliance rates and promote cleanup of contaminated sites through the use of all of EPA's compliance assurance tools, especially enforcement actions to address environmental violations.",ASO
020SO18138,"	020","Environmental Protection Agency","Create Consistency and Certainty: Outline exactly what is expected of the regulated community to ensure good stewardship and positive environmental outcomes.",ASO
020SO18139,"	020","Environmental Protection Agency","Prioritize Robust Science: Refocus the EPA's robust research and scientific analysis to inform policy making.",ASO
020SO18140,"	020","Environmental Protection Agency","Streamline and Modernize: Issue permits more quickly and modernize our permitting and reporting systems.",ASO
020SO18141,"	020","Environmental Protection Agency","Improve Efficiency and Effectiveness: Provide proper leadership and internal operations management to ensure that the Agency is fulfilling its mission.",ASO
020SO18259,"	020","Environmental Protection Agency","Provide for Clean and Safe Water: Ensure waters are clean through improved water infrastructure and, in partnership with states and tribes, sustainably manage programs to support drinking water, aquatic ecosystems, recreational, economic, and subsistence activities.",ASO
"	0","	021","Department of Transportation","Not Applicable",
021APG18034,"	021","Department of Transportation","Reduce Surface Transportation-Related Fatalities",APG
021APG18035,"	021","Department of Transportation","Simplify and Enhance Environmental Review Process for Major Transportation Projects",APG
021APG18087,"	021","Department of Transportation","Controlling Regulatory Burden",APG
021APG18090,"	021","Department of Transportation","Reduce Aviation-Related Fatalities",APG
021APG18095,"	021","Department of Transportation","Improve Conditions of America's Transportation Related Infrastructure",APG
021SO18095,"	021","Department of Transportation","Systemic Safety Approach",ASO
021SO18096,"	021","Department of Transportation","Project Delivery, Planning, Environment, Funding and Finance",ASO
021SO18097,"	021","Department of Transportation","Life Cycle and Preventive Maintenance",ASO
021SO18098,"	021","Department of Transportation","System Operations and Performance",ASO
021SO18099,"	021","Department of Transportation","Economic Competitiveness and Workforce",ASO
021SO18100,"	021","Department of Transportation","Development of Innovation",ASO
021SO18101,"	021","Department of Transportation","Deployment of Innovation",ASO
021SO18102,"	021","Department of Transportation","Regulatory Reform",ASO
021SO18103,"	021","Department of Transportation","Mission Efficiency and Support",ASO
"	0","	023","General Services Administration","Not Applicable",
023APG18048,"	023","General Services Administration","Expansion of Centralized Services",APG
023APG18049,"	023","General Services Administration","Leased Building Operations",APG
023SO18142,"	023","General Services Administration","Reduce the cost of Federal inventory",ASO
023SO18143,"	023","General Services Administration","Establish GSA as a more effective provider of real estate services for all agencies.",ASO
023SO18144,"	023","General Services Administration","Design and deliver GSA products and services that yield measurable savings while aligning with customer mission objectives and changing market demand.",ASO
023SO18145,"	023","General Services Administration","Make it easier to do business with the Government by simplifying processes and streamlining access for our customers and suppliers.",ASO
023SO18146,"	023","General Services Administration","Enhance customer agency access to qualified socio-economic entities.",ASO
023SO18147,"	023","General Services Administration","Lead Governmentwide technology modernization initiatives.",ASO
023SO18148,"	023","General Services Administration","Drive more efficient and innovative Government procurement of technology services.",ASO
023SO18149,"	023","General Services Administration","Lead implementation of technical standards, policies, and strategies.",ASO
023SO18150,"	023","General Services Administration","Develop new organizational capabilities to understand customer demand and deliver integrated offerings to support common business processes Governmentwide.",ASO
023SO18151,"	023","General Services Administration","Promote adoption of shared services by agencies through policy, guidance, and benchmarking",ASO
023SO18152,"	023","General Services Administration","Support the overall mission of GSA by investing in our employees and modeling how we deliver internal support services, while providing policy guidance across Government.",ASO
"	0","	024","Department of Homeland Security","Not Applicable",
024APG18014,"	024","Department of Homeland Security","Enhance Southern Border Security",APG
024APG18015,"	024","Department of Homeland Security","Strengthen Federal Cybersecurity",APG
024SO18227,"	024","Department of Homeland Security","Not Available",ASO
"	0","	025","Department of Housing and Urban Development","Not Applicable",
025APG18016,"	025","Department of Housing and Urban Development","Protect Families From Lead-Based Paint and Other Health Hazards",APG
025APG18017,"	025","Department of Housing and Urban Development","Reduce the Average Length of Homelessness",APG
025APG18075,"	025","Department of Housing and Urban Development","Promote Economic Opportunity for HUD-Assisted Residents",APG
025APG18082,"	025","Department of Housing and Urban Development","Enhance Rental Assistance",APG
025SO18054,"	025","Department of Housing and Urban Development","Promote economic opportunity",ASO
025SO18055,"	025","Department of Housing and Urban Development","Enhance rental Assistance",ASO
025SO18056,"	025","Department of Housing and Urban Development","Reduce the average length of homelessness",ASO
025SO18057,"	025","Department of Housing and Urban Development","Support sustainable homeownership and financial viability",ASO
025SO18058,"	025","Department of Housing and Urban Development","Remove lead-based paint hazards and other health risks from homes",ASO
025SO18059,"	025","Department of Housing and Urban Development","Organize and deliver services more effectively",ASO
025SO18060,"	025","Department of Housing and Urban Development","Improve the way we work",ASO
025SO18061,"	025","Department of Housing and Urban Development","Strengthen fiscal responsibility and controls",ASO
"	0","	026","National Aeronautics and Space Administration","Not Applicable",
026APG18050,"	026","National Aeronautics and Space Administration","Commercial Crew Program",APG
026APG18051,"	026","National Aeronautics and Space Administration",Exploration,APG
026APG18052,"	026","National Aeronautics and Space Administration","International Space Station",APG
026APG18053,"	026","National Aeronautics and Space Administration","James Webb Space Telescope",APG
026APG18054,"	026","National Aeronautics and Space Administration","Mars 2020",APG
026SO18153,"	026","National Aeronautics and Space Administration","Understand the Sun, Earth, Solar System, and Universe.",ASO
026SO18154,"	026","National Aeronautics and Space Administration","Understand Responses of Physical and Biological Systems to Spaceflight.",ASO
026SO18155,"	026","National Aeronautics and Space Administration","Lay the Foundation for America to Maintain a Constant Human Presence in Low Earth Orbit Enabled by a Commercial Market.",ASO
026SO18156,"	026","National Aeronautics and Space Administration","Conduct Exploration in Deep Space, Including to the Surface of the Moon.",ASO
026SO18157,"	026","National Aeronautics and Space Administration","Develop and Transfer Revolutionary Technologies to Enable Exploration Capabilities for NASA and the Nation.",ASO
026SO18158,"	026","National Aeronautics and Space Administration","Transform Aviation Through Revolutionary Technology Research, Development, and Transfer.",ASO
026SO18159,"	026","National Aeronautics and Space Administration","Inspire and Engage the Public in Aeronautics, Space, and Science.",ASO
026SO18160,"	026","National Aeronautics and Space Administration","Engage in Partnership Strategies.",ASO
026SO18161,"	026","National Aeronautics and Space Administration","Enable Space Access and Services.",ASO
026SO18162,"	026","National Aeronautics and Space Administration","Assure Safety and Mission Success.",ASO
026SO18163,"	026","National Aeronautics and Space Administration","Manage Human Capital.",ASO
026SO18164,"	026","National Aeronautics and Space Administration","Ensure Enterprise Protection.",ASO
026SO18165,"	026","National Aeronautics and Space Administration","Sustain Infrastructure Capabilities and Operations.",ASO
"	0","	027","Office of Personnel Management","Not Applicable",
027APG18056,"	027","Office of Personnel Management","Enable Federal Employees to Seamlessly Transfer From One Agency to Another, With Paperless Processing",APG
027APG18057,"	027","Office of Personnel Management","Improve the Hiring Process",APG
027SO18172,"	027","Office of Personnel Management","Drive improvements to the hiring process so agencies are able to hire the best candidate in a timely manner",ASO
027SO18173,"	027","Office of Personnel Management","Achieve reforms to the pay system to drive performance excellence and greater responsiveness to changes in labor markets",ASO
027SO18174,"	027","Office of Personnel Management","Reduce the complexity and costs to administer Federal employee retirement earned benefits by achieving and implementing legislative reform",ASO
027SO18175,"	027","Office of Personnel Management","Improve healthcare quality and affordability in the Federal Employees Health Benefits (FEHB) Program with 75 percent of enrollees in quality, affordable plans",ASO
027SO18176,"	027","Office of Personnel Management","Transform the background investigation process to improve investigation timeliness",ASO
027SO18177,"	027","Office of Personnel Management","Establish a Center of Excellence by leveraging data analytics and research to advance evidence-based human capital management",ASO
027SO18178,"	027","Office of Personnel Management","Advance human capital management through the strategic use of interoperable HR IT that connects all parts of the talent management lifecycle and drives agency adoption of the Software as a Service model by the end of 2022",ASO
027SO18179,"	027","Office of Personnel Management","Streamline data collection and leverage data repositories to enhance enterprise-wide Human Resource (HR) data analytics and reduce low-value reporting requirements",ASO
027SO18180,"	027","Office of Personnel Management","Strengthen OPM coordination of policy, service delivery, and oversight resulting in agencies' achievement of human capital objectives",ASO
027SO18181,"	027","Office of Personnel Management","Achieve recognition as the trusted human capital management advisor",ASO
027SO18182,"	027","Office of Personnel Management","Improve collaboration, transparency, and communication among OPM leadership to make better, more efficient decisions, increasing OPM's collaborative management score by 4 percentage points",ASO
027SO18183,"	027","Office of Personnel Management","Invest in OPM management and provide the tools managers need to maximize employee performance, improving OPM's score in dealing with poor performers, by 4 percentage points",ASO
027SO18184,"	027","Office of Personnel Management","Exceed the Government-wide average satisfaction score for each agency mission support service",ASO
027SO18185,"	027","Office of Personnel Management","Improve retirement services by reducing the average time to answer calls to 5 minutes or less and achieve an average case processing time of 60 days or less",ASO
"	0","	028","Small Business Administration","Not Applicable",
028APG18058,"	028","Small Business Administration","Expand Capital to Small Businesses in Socially and Economically Disadvantaged Urban Communities and Rural Areas",APG
028APG18059,"	028","Small Business Administration","Increase Federal Contracts to Disadvantaged Small Businesses",APG
028APG18060,"	028","Small Business Administration","Maximize Small Business Participation in Government Contracting",APG
028APG18061,"	028","Small Business Administration","Reduce Loan Processing Time for Disaster Survivors",APG
028SO18186,"	028","Small Business Administration","Expand Access to Capital",ASO
028SO18187,"	028","Small Business Administration","Help Small Business Exporters Succeed in Global Markets",ASO
028SO18188,"	028","Small Business Administration","Ensure Federal Contract and Innovation Set-aside Goals are Met and/or Exceeded",ASO
028SO18189,"	028","Small Business Administration","Develop Small Businesses through Technical Assistance",ASO
028SO18190,"	028","Small Business Administration","Build Healthy Entrepreneurial Ecosystems",ASO
028SO18191,"	028","Small Business Administration","Create a Small Business Friendly Environment",ASO
028SO18192,"	028","Small Business Administration","Deploy Disaster Assistance Effectively and Efficiently",ASO
028SO18193,"	028","Small Business Administration","Ensure Effective and Efficient Management of Agency Resources",ASO
028SO18194,"	028","Small Business Administration","Build a High-performing Workforce",ASO
028SO18195,"	028","Small Business Administration","Implement Enterprise-wide Information System Modernization and Cost-effective Technology",ASO
"	0","	029","Department of Veterans Affairs","Not Applicable",
029APG18038,"	029","Department of Veterans Affairs","Appeals Improvement and Modernization Act Implementation",APG
029APG18039,"	029","Department of Veterans Affairs","Community Care",APG
029APG18091,"	029","Department of Veterans Affairs","Veteran Customer Experience",APG
029APG18092,"	029","Department of Veterans Affairs","Veteran Suicide Prevention",APG
029SO18121,"	029","Department of Veterans Affairs","VA anticipates veterans' changing needs throughout their lives to enhance their choices",ASO
029SO18122,"	029","Department of Veterans Affairs","veterans are informed of, understand, and can avail themselves of the benefits, care, and services they choose",ASO
029SO18123,"	029","Department of Veterans Affairs","VA has collaborative, high-performing, and integrated delivery networks that enhance veteran well-being and independence",ASO
029SO18124,"	029","Department of Veterans Affairs","VA ensures at-risk and underserved veterans receive what they need to eliminate veteran suicide, homelessness, and poverty",ASO
029SO18125,"	029","Department of Veterans Affairs","VA is always transparent to enhance veterans' choices, to maintain trust, and to be openly accountable for its actions",ASO
029SO18126,"	029","Department of Veterans Affairs","VA holds its personnel and external service providers accountable for delivering excellent customer service and experiences while eliminating fraud, waste, and abuse",ASO
029SO18127,"	029","Department of Veterans Affairs","VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",ASO
029SO18128,"	029","Department of Veterans Affairs","VA will modernize its human capital management capabilities to empower and enable a diverse, fully staffed, and highly skilled workforce that consistently delivers world class services to veterans and their families.",ASO
029SO18129,"	029","Department of Veterans Affairs","VA IT modernization will quickly deliver effective solutions that will enable VA to provide improved customer service and provide a secure and seamless experience while decreasing its rate of spend.",ASO
029SO18130,"	029","Department of Veterans Affairs","VA will institutionalize data supported and performance focused decision making that will improve the quality of outcomes",ASO
"	0","	184","U.S. Agency for International Development","Not Applicable",
014APG18030,"	184","U.S. Agency for International Development","IT Modernization",APG
014APG18031,"	184","U.S. Agency for International Development","Visa Security",APG
014APG18064,"	184","U.S. Agency for International Development","Food Security and Resilience",APG
014APG18065,"	184","U.S. Agency for International Development","Maternal and Child Health",APG
014APG18066,"	184","U.S. Agency for International Development","Procurement Reform",APG
014APG18067,"	184","U.S. Agency for International Development","Category Management",APG
014APG18068,"	184","U.S. Agency for International Development",HIV/AIDS,APG
014SO18079,"	184","U.S. Agency for International Development","Counter the Proliferation of Weapons of Mass Destruction (WMD) and their Delivery Systems",ASO
014SO18081,"	184","U.S. Agency for International Development","Counter instability, transnational crime, and violence that threaten U.S. interests by strengthening citizen-responsive governance, security, democracy, human rights, and rule of law",ASO
014SO18082,"	184","U.S. Agency for International Development","Increase capacity and strengthen resilience of our partners and allies to deter aggression, coercion, and malign influence by state and non-state actors",ASO
014SO18083,"	184","U.S. Agency for International Development","Strengthen U.S. border security and protect U.S. citizens abroad",ASO
014SO18084,"	184","U.S. Agency for International Development","Promote American prosperity by advancing bilateral relationships and leveraging international institutions and agreements to open markets, secure commercial opportunities, and foster investment and innovation to contribute to U.S. job creation",ASO
014SO18085,"	184","U.S. Agency for International Development","Promote healthy, educated and productive populations in partner countries to drive inclusive and sustainable development, open new markets and support U.S. prosperity and security objectives",ASO
014SO18086,"	184","U.S. Agency for International Development","Advance U.S. economic security by ensuring energy security, combating corruption, and promoting market-oriented economic and governance reforms",ASO
014SO18087,"	184","U.S. Agency for International Development","Transition nations from assistance recipients to enduring diplomatic, economic, and security partners",ASO
014SO18088,"	184","U.S. Agency for International Development","Engage international fora to further American values and foreign policy goals while seeking more equitable burden sharing",ASO
014SO18089,"	184","U.S. Agency for International Development","Increase partnerships with the private sector and civil society organizations to mobilize support and resources and shape foreign public opinion",ASO
014SO18090,"	184","U.S. Agency for International Development","Project American values and leadership by preventing the spread of disease and providing humanitarian relief.",ASO
014SO18091,"	184","U.S. Agency for International Development","Strengthen the effectiveness and sustainability of our diplomacy and development investments",ASO
014SO18092,"	184","U.S. Agency for International Development","Provide modern and secure infrastructure and operational capabilities to support effective diplomacy and development",ASO
014SO18093,"	184","U.S. Agency for International Development","Enhance workforce performance, leadership, engagement, and accountability to execute our mission efficiently and effectively",ASO
014SO18094,"	184","U.S. Agency for International Development","Strengthen security and safety of workforce and physical assets",ASO
014SO18254,"	184","U.S. Agency for International Development","Defeat ISIS, al Qa'ida and other Transnational terrorist organizations, and counter state sponsored, regional, and local terrorist groups that threaten U.S. national security interests",ASO
"	0","	202","U.S. Army Corps of Engineers","Not Applicable",
"	0","	393","National Archives and Records Administration","Not Applicable",
"	0","	422","National Science Foundation","Not Applicable",
422APG18055,"	422","National Science Foundation","Expand Public and Private Partnerships",APG
422SO18166,"	422","National Science Foundation","Knowledge: Advance knowledge through investments in ideas, people, and infrastructure",ASO
422SO18167,"	422","National Science Foundation","Practice: Advance the practice of research",ASO
422SO18168,"	422","National Science Foundation","Societal Impacts: Support research and promote partnerships to accelerate innovation and to provide new capabilities to meet pressing societal needs",ASO
422SO18169,"	422","National Science Foundation","STEM Workforce: Foster the growth of a more capable and diverse research workforce and advance the scientific and innovation skills of the Nation",ASO
422SO18170,"	422","National Science Foundation","Human Capital: Attract, retain, and empower a talented and diverse workforce",ASO
422SO18171,"	422","National Science Foundation","Processes and Operations: Continually improve agency operations",ASO
"	0","	429","Nuclear Regulatory Commission","Not Applicable",
